t_avail_s,relative_m
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,-0.0076169999999999996
9,-0.159077
10,-0.43777700000000003
11,-0.75356299999999998
12,-1.0750649999999999
13,-1.368325
14,-1.6009899999999999
15,-1.7415210000000001
16,-1.7575860000000001
17,-1.615246
18,-1.27881
19,-0.71295500000000001
20,0.118376
21,1.250264
22,2.631367
23,4.196733
24,5.8925749999999999
25,7.6751230000000001
26,9.5100490000000004
27,11.367637999999999
28,13.220729
29,15.043068
30,16.808112999999999
31,18.487575
32,20.051030999999998
33,21.463750999999998
34,22.687702999999999
35,23.680565000000001
36,24.406755
37,24.876576
38,25.146958999999999
39,25.257975999999999
40,25.244959999999999
41,25.133088000000001
42,24.943192
43,24.691514000000002
44,24.392627000000001
45,24.058693000000002
46,23.701324
47,23.331444999999999
48,22.960044
49,22.598648000000001
50,22.259868000000001
51,21.958119
52,21.710312999999999
53,21.537821999999998
54,21.465997000000002
55,21.511337999999999
56,21.640671000000001
57,21.828634000000001
58,22.063115
59,22.334693000000001
68,25.485123999999999
69,25.827366999999999
70,26.148800000000001
71,26.441942000000001
72,26.696297999999999
73,26.909858
74,27.110489000000001
75,27.307167
76,27.497691
77,27.678241
78,27.844995999999998
79,27.994253
80,28.122502000000001
81,28.225998000000001
82,28.300812000000001
83,28.342428999999999
84,28.345655000000001
85,28.303917999999999
86,28.209455999999999
87,28.051694999999999
88,27.815826000000001
89,27.482167
90,27.014163
91,26.405557000000002
92,25.671365999999999
93,24.831986000000001
94,23.908722999999998
95,22.922823999999999
96,21.895344999999999
97,20.847272
98,19.799958
99,18.775586000000001
100,17.797654999999999
101,16.892122000000001
102,16.088377999999999
103,15.416904000000001
104,14.883032
105,14.466036000000001
106,14.140624000000001
107,13.883096
108,13.671877
109,13.487093
110,13.309817000000001
111,13.121226
112,12.901878
113,12.630706
114,12.283882999999999
115,11.832822
116,11.246119
117,10.515262999999999
118,9.664593
119,8.7226250000000007
120,7.7165290000000004
121,6.6713870000000002
122,5.6105999999999998
123,4.5567380000000002
124,3.5325090000000001
125,2.561687
126,1.670164
127,0.88751000000000002
128,0.248222
129,-0.22125300000000001
130,-0.53684600000000005
131,-0.72538400000000003
132,-0.81230500000000005
133,-0.81974599999999997
134,-0.76588500000000004
135,-0.66636499999999999
136,-0.53578800000000004
137,-0.38851599999999997
138,-0.240371
139,-0.11121399999999999
140,-0.029923000000000002
141,-0.096971000000000002
142,-0.4698
143,-1.12538
144,-1.824333
145,-2.1927120000000002
146,-1.9411389999999999
147,-1.06016
148,0.300016
149,2.0310549999999998
150,4.0208550000000001
151,6.1810650000000003
152,8.4531589999999994
153,10.798088999999999
154,13.184319
155,15.585323000000001
156,17.975480999999998
157,20.328059
158,22.614149000000001
159,24.801283999999999
160,26.855712
161,28.743079999999999
162,30.430150999999999
163,31.887872999999999
164,33.111480999999998
165,34.167490000000001
166,35.092174999999997
167,35.923572
168,36.681925
169,37.385126999999997
170,38.046774999999997
171,38.677053000000001
172,39.285158000000003
173,39.878791
174,40.465184999999998
175,41.051220000000001
176,41.643642
177,42.249505999999997
178,42.876071000000003
179,43.531486999999998
180,44.225507999999998
181,44.967866999999998
182,45.772606000000003
183,46.653311000000002
184,47.629401999999999
185,48.721783000000002
186,49.953145999999997
187,51.339638000000001
188,52.850506000000003
189,54.450800999999998
190,56.113244000000002
191,57.815022999999997
192,59.540680999999999
193,61.276359999999997
194,63.011347000000001
195,64.736181999999999
196,66.442447000000001
197,68.121837999999997
198,69.766329999999996
199,71.367682000000002
215,75.881141999999997
216,74.145476000000002
217,72.288608999999994
218,70.334483000000006
219,68.301441999999994
220,66.206109999999995
221,64.063051000000002
222,61.885525000000001
223,59.686295000000001
224,57.477837000000001
225,55.273187999999998
226,53.086410999999998
227,50.934255
228,48.835546999999998
229,46.817157000000002
230,44.908445999999998
231,43.110559000000002
232,41.397731999999998
233,39.757010000000001
234,38.179510999999998
235,36.657072999999997
236,35.181978999999998
237,33.747157999999999
238,32.345993999999997
239,30.972185
240,29.619772000000001
241,28.282817999999999
242,26.955434
243,25.631474999999998
244,24.304366000000002
245,22.966902000000001
246,21.610513999999998
247,20.225670000000001
248,18.799105999999998
249,17.310098
250,15.659233
251,13.764177
252,11.626696000000001
253,9.3017120000000002
254,6.9079179999999996
255,4.6187250000000004
256,2.5948519999999999
257,0.91761899999999996
258,-0.40806700000000001
259,-1.4467380000000001
260,-2.2324929999999998
261,-2.8331089999999999
262,-3.2683309999999999
263,-3.5796649999999999
264,-3.7840859999999998
265,-3.8962780000000001
266,-3.935613
267,-3.9351120000000002
268,-3.9099620000000002
269,-3.8609599999999999
270,-3.7849569999999999
271,-3.6796449999999998
272,-3.5356179999999999
273,-3.3485119999999999
274,-3.104956
275,-2.7979609999999999
276,-2.4164590000000001
277,-1.963848
278,-1.4631799999999999
279,-0.95987100000000003
280,-0.51204400000000005
281,-0.17493800000000001
282,0.040393999999999999
283,0.184475
284,0.26369799999999999
285,0.27342499999999997
286,0.22254199999999999
287,0.139381
288,0.061112
289,0.015291000000000001
290,-0.00037199999999999999
