frame_index,event,timestamp_s,h_frame_m,h_valid,h_stale,h_used_for_increment_m,gsd_used_m_per_px,east_m,north_m,yaw_deg
0,init,0,80,1,0,,,0,0,0
1,none,0.097675323486328125,80,1,0,80,0.1087647157277918,-1.1678175522465504,0.023467611030305105,359.94536502873132
2,none,0.19457030296325684,80,1,0,80,0.1087647157277918,-2.4165460929345119,-0.067187879592160479,359.90151895508296
3,none,0.29888463020324707,80,1,0,80,0.1087647157277918,-3.196262386454169,0.069698439687120264,359.89448875397028
4,none,0.39824461936950684,80,1,0,80,0.1087647157277918,-3.6957483421691601,0.26045752199769245,359.86398565963475
5,none,0.49559736251831055,80,1,0,80,0.1087647157277918,-5.2147434983257792,0.51757264712949413,359.7796169398178
6,none,0.59923219680786133,80.187157199155465,1,0,80,0.1087647157277918,-6.3791045659527503,0.71156007713469127,359.75772814910863
7,none,0.69985628128051758,80.187157199155465,1,0,80.187157199155465,0.10901916697232372,-7.3602685047897536,0.80286416258127691,359.65340135038809
8,none,0.79793143272399902,80.187157199155465,1,0,80.187157199155465,0.10901916697232372,-8.0677239504913256,0.93545638309393753,359.6220459856645
9,none,0.89751911163330078,80.187157199155465,1,0,80.187157199155465,0.10901916697232372,-8.7707786263175205,0.79814123138894655,359.56699981977692
10,none,0.99874353408813477,80.187157199155465,1,0,80.187157199155465,0.10901916697232372,-8.9923945223566903,0.58093763372665452,359.45724490930195
11,none,1.0978829860687256,80.374284826396391,1,0,80.187157199155465,0.10901916697232372,-9.1759672809738255,0.51796123868858512,359.43643228566151
12,none,1.1986427307128906,80.374284826396391,1,0,80.374284826396391,0.10927357801209467,-9.050387893050404,0.30384138250218362,359.46183895751898
13,none,1.2996177673339844,80.374284826396391,1,0,80.374284826396391,0.10927357801209467,-9.4559099752280531,-0.051289027416518584,359.52625032502345
14,none,1.4039065837860107,80.374284826396391,1,0,80.374284826396391,0.10927357801209467,-9.7224418179933814,-0.057025815636860898,359.45370718861335
15,none,1.4955575466156006,80.374284826396391,1,0,80.374284826396391,0.10927357801209467,-10.32862860233155,0.091099363545427525,359.40783804195598
16,none,1.5983150005340576,80.561353158608171,1,0,80.374284826396391,0.10927357801209467,-10.802173187684406,0.1739302004686,359.43530010990889
17,none,1.6979711055755615,80.561353158608171,1,0,80.561353158608171,0.10952790843677825,-11.39689102026624,0.23744975538275873,359.36906624073441
18,none,1.7978425025939941,80.561353158608171,1,0,80.561353158608171,0.10952790843677825,-11.782696890612396,0.35344321746733492,359.34582506526016
19,none,1.8969218730926514,80.561353158608171,1,0,80.561353158608171,0.10952790843677825,-12.212635468457616,0.44006952691822587,359.28075877660802
20,none,1.997607946395874,80.561353158608171,1,0,80.561353158608171,0.10952790843677825,-12.484933851840449,0.59014726962592401,359.28401415311657
21,none,2.096606969833374,80.748332764537395,1,0,80.561353158608171,0.10952790843677825,-12.959203920997451,0.61282413404765135,359.21698484645378
22,none,2.1944918632507324,80.748332764537395,1,0,80.748332764537395,0.10978211823285058,-13.230829155978515,0.70590659548999035,359.19844779975426
23,none,2.2977838516235352,80.748332764537395,1,0,80.748332764537395,0.10978211823285058,-13.675961344176029,0.52478604761623804,359.18888103734082
24,none,2.3995838165283203,80.748332764537395,1,0,80.748332764537395,0.10978211823285058,-13.817199654896752,0.46053334348159292,359.15725156741371
25,none,2.5004734992980957,80.935193995014018,1,0,80.748332764537395,0.10978211823285058,-14.321200164290588,0.49607211586769101,359.15092472373806
26,none,2.6020863056182861,80.935193995014018,1,0,80.935193995014018,0.11003616709051728,-14.327601824812234,0.52758403172345525,359.13812781058692
27,none,2.7016291618347168,80.935193995014018,1,0,80.935193995014018,0.11003616709051728,-14.778655781773832,0.61765250407254169,359.10445229785495
28,none,2.7976465225219727,80.935193995014018,1,0,80.935193995014018,0.11003616709051728,-15.052658682147849,0.63867204536363131,359.09416873534701
29,none,2.8976809978485107,80.935193995014018,1,0,80.935193995014018,0.11003616709051728,-15.589130229648621,0.74260264699015111,359.09587510548789
30,none,3.0000438690185547,81.121907244736008,1,0,80.935193995014018,0.11003616709051728,-15.808168206074798,0.86372452307818381,359.15727769451212
31,none,3.1002883911132812,81.121907244736008,1,0,81.121907244736008,0.11029001475962508,-16.315275856131677,0.88996712664740507,359.11475156316948
32,none,3.1990625858306885,81.121907244736008,1,0,81.121907244736008,0.11029001475962508,-16.730781629899511,0.74708279791919252,359.16339891801567
33,none,3.2981374263763428,81.121907244736008,1,0,81.121907244736008,0.11029001475962508,-17.082566806399775,0.76035785408714984,359.18118491976406
34,none,3.402482271194458,81.121907244736008,1,0,81.121907244736008,0.11029001475962508,-17.227274159954543,0.66253777931792646,359.173384613976
35,none,3.5000159740447998,81.308443000900326,1,0,81.121907244736008,0.11029001475962508,-17.259094686165732,0.70478608367609075,359.13371275541465
36,none,3.6031627655029297,81.308443000900326,1,0,81.308443000900326,0.11054362111577859,-17.202568849754719,0.76243221120123417,359.12869368375181
37,none,3.7002131938934326,81.308443000900326,1,0,81.308443000900326,0.11054362111577859,-17.367937025142563,0.78740024145791654,359.15297442329216
38,none,3.7998743057250977,81.308443000900326,1,0,81.308443000900326,0.11054362111577859,-17.50926766483936,0.59104534661323749,359.01950081118065
39,none,3.8996195793151855,81.308443000900326,1,0,81.308443000900326,0.11054362111577859,-17.975262470780848,0.71070040195106199,358.97498628909915
40,none,3.9930272102355957,81.308443000900326,1,0,81.308443000900326,0.11054362111577859,-18.055294286080937,0.84183724187020204,359.02532721281955
41,none,4.0993020534515381,81.494771446225556,1,0,81.308443000900326,0.11054362111577859,-18.472009185160161,1.0033031400483881,358.88061372961567
42,none,4.1965963840484619,81.494771446225556,1,0,81.494771446225556,0.11079694562062609,-18.347050567371586,1.1107085728009618,358.90598726738631
43,none,4.2976229190826416,81.494771446225556,1,0,81.494771446225556,0.11079694562062609,-18.636507538042206,1.1438138321288416,358.90989613671286
44,none,4.4042401313781738,81.494771446225556,1,0,81.494771446225556,0.11079694562062609,-18.980371603923967,1.2179407484071527,358.84028995304948
45,none,4.5003817081451416,81.680864090289376,1,0,81.494771446225556,0.11079694562062609,-19.603395537615025,1.039916850173715,358.87607083370597
46,none,4.5979964733123779,81.680864090289376,1,0,81.680864090289376,0.11104994953975902,-19.612297276365954,1.0205343998516447,358.8996017254612
